ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adj_close,adj_open,adj_high,adj_low
920121.BJ,20251225,61.0,72.88,59.31,59.51,21.21,38.3,180.5752,111614.03,733678.458,1.0,59.51,61.0,72.88,59.31
920121.BJ,20251226,52.0,54.53,50.02,51.99,59.51,-7.52,-12.6365,69099.02,356826.869,1.0,51.99,52.0,54.53,50.02
920121.BJ,20251229,49.09,49.56,47.74,47.85,51.99,-4.14,-7.9631,46391.17,224173.04,1.0,47.85,49.09,49.56,47.74
920121.BJ,20251230,48.45,48.45,46.07,46.14,47.85,-1.71,-3.5737,33434.97,156751.954,1.0,46.14,48.45,48.45,46.07
920121.BJ,20251231,45.95,47.53,45.71,46.08,46.14,-0.06,-0.13,20472.16,95423.721,1.0,46.08,45.95,47.53,45.71
920121.BJ,20260105,45.9,45.9,44.35,45.22,46.08,-0.86,-1.8663,22003.98,99130.055,1.0,45.22,45.9,45.9,44.35
920121.BJ,20260106,45.0,45.5,44.94,45.23,45.22,0.01,0.0221,14302.77,64627.81,1.0,45.23,45.0,45.5,44.94
920121.BJ,20260107,45.24,46.34,45.01,45.87,45.23,0.64,1.415,18704.42,85739.266,1.0,45.87,45.24,46.34,45.01
920121.BJ,20260108,46.0,46.18,45.11,45.25,45.87,-0.62,-1.3516,15233.45,69171.638,1.0,45.25,46.0,46.18,45.11
920121.BJ,20260109,45.44,45.45,45.09,45.14,45.25,-0.11,-0.2431,12339.73,55807.859,1.0,45.14,45.44,45.45,45.09
920121.BJ,20260112,45.27,45.94,44.75,45.44,45.14,0.3,0.6646,19125.55,86457.556,1.0,45.44,45.27,45.94,44.75
920121.BJ,20260113,45.5,46.8,45.21,45.28,45.44,-0.16,-0.3521,22533.83,103672.509,1.0,45.28,45.5,46.8,45.21
920121.BJ,20260114,45.09,45.46,44.75,45.01,45.28,-0.27,-0.5963,17456.75,78529.623,1.0,45.01,45.09,45.46,44.75
920121.BJ,20260115,44.73,45.46,44.51,45.04,45.01,0.03,0.0667,10248.66,46172.31,1.0,45.04,44.73,45.46,44.51
920121.BJ,20260116,45.3,45.3,44.6,44.62,45.04,-0.42,-0.9325,10186.6,45729.778,1.0,44.62,45.3,45.3,44.6
920121.BJ,20260119,44.77,44.77,44.22,44.36,44.62,-0.26,-0.5827,9813.93,43628.705,1.0,44.36,44.77,44.77,44.22
920121.BJ,20260120,44.4,45.13,44.26,44.73,44.36,0.37,0.8341,9547.92,42713.524,1.0,44.73,44.4,45.13,44.26
920121.BJ,20260121,44.51,44.96,44.49,44.54,44.73,-0.19,-0.4248,7608.16,33949.113,1.0,44.54,44.51,44.96,44.49
920121.BJ,20260122,44.8,44.8,44.18,44.32,44.54,-0.22,-0.4939,7642.3,33878.208,1.0,44.32,44.8,44.8,44.18
920121.BJ,20260123,44.31,44.86,44.25,44.78,44.32,0.46,1.0379,8929.15,39817.292,1.0,44.78,44.31,44.86,44.25
